id,source,family,base_rate,base_rate_pct,base_rate_se,description,dl_bits,program
(λ gt (count_suit (drop 1 $0) CLUBS) 2),grammar,ENUMERATED,0.0965,9.65,0.002953,Enumerated program (DL=30.5377 bits),30.5377,(λ gt (count_suit (drop 1 $0) CLUBS) 2)
sum_ranks_ge_60,template,GLOBAL,0.09756,9.76,0.001327,Sum of rank values is at least 60,,λh. sum_ranks(h) ≥ 60
(λ lt 5 (min_rank $0)),grammar,ENUMERATED,0.0988,9.88,0.002984,Enumerated program (DL=19.1978 bits),19.1978,(λ lt 5 (min_rank $0))
(λ gt (mod (max_rank $0) 4) 2),grammar,ENUMERATED,0.1009,10.09,0.003012,Enumerated program (DL=28.3678 bits),28.3678,(λ gt (mod (max_rank $0) 4) 2)
(λ ge (n_unique_suits (second_half $0)) (rank_val (head $0)),grammar,ENUMERATED,0.1018,10.18,0.003024,Enumerated program (DL=30.6408 bits),30.6408,(λ ge (n_unique_suits (second_half $0)) (rank_val (head $0)))
(λ lt (rank_val (head $0)) (n_unique_suits $0)),grammar,ENUMERATED,0.102,10.2,0.003026,Enumerated program (DL=27.0558 bits),27.0558,(λ lt (rank_val (head $0)) (n_unique_suits $0))
(λ gt (n_unique_suits (take 4 $0)) 3),grammar,ENUMERATED,0.1027,10.27,0.003036,Enumerated program (DL=27.3678 bits),27.3678,(λ gt (n_unique_suits (take 4 $0)) 3)
(λ ge (n_unique_suits (first_half $0)) (rank_val (head $0))),grammar,ENUMERATED,0.103,10.3,0.00304,Enumerated program (DL=30.6408 bits),30.6408,(λ ge (n_unique_suits (first_half $0)) (rank_val (head $0)))
shift_3_rank_gt,template,SHIFT,0.10328,10.33,0.001361,At offset 3: rank_gt,,"λh. ∀i. rank_gt(h[i], h[i+3])"
shift_half_rank_gt,template,SHIFT,0.10378,10.38,0.001364,At offset half: rank_gt,,"λh. ∀i. rank_gt(h[i], h[i+half])"
(λ ge (n_unique_suits (second_half $0)) (rank_val (last $0)),grammar,ENUMERATED,0.1041,10.41,0.003054,Enumerated program (DL=30.6408 bits),30.6408,(λ ge (n_unique_suits (second_half $0)) (rank_val (last $0)))
(λ ge (n_unique_suits (first_half $0)) (rank_val (last $0))),grammar,ENUMERATED,0.1049,10.49,0.003064,Enumerated program (DL=30.6408 bits),30.6408,(λ ge (n_unique_suits (first_half $0)) (rank_val (last $0)))
(λ lt (rank_val (last $0)) (n_unique_suits $0)),grammar,ENUMERATED,0.1057,10.57,0.003075,Enumerated program (DL=27.0558 bits),27.0558,(λ lt (rank_val (last $0)) (n_unique_suits $0))
count_face_cards_eq_3,template,COUNT,0.10626,10.63,0.001378,Number of face_cards is eq 3,,λh. count(face_cards) eq 3
(λ lt (n_unique_colors (drop 2 $0)) 2),grammar,ENUMERATED,0.1066,10.66,0.003086,Enumerated program (DL=27.3678 bits),27.3678,(λ lt (n_unique_colors (drop 2 $0)) 2)
(λ lt (n_unique_colors (take 4 $0)) 2),grammar,ENUMERATED,0.1067,10.67,0.003087,Enumerated program (DL=27.3678 bits),27.3678,(λ lt (n_unique_colors (take 4 $0)) 2)
(λ gt (n_unique_suits (drop 2 $0)) 3),grammar,ENUMERATED,0.107,10.7,0.003091,Enumerated program (DL=27.3678 bits),27.3678,(λ gt (n_unique_suits (drop 2 $0)) 3)
skip2_rank_diff_le4,template,ADJACENT,0.10728,10.73,0.001384,Every pair at offset 2 satisfies rank_diff_le4,,"λh. ∀i. rank_diff_le4(h[i], h[i+2])"
(λ le (n_unique_ranks $0) (count_color $0 RED)),grammar,ENUMERATED,0.1083,10.83,0.003108,Enumerated program (DL=27.8632 bits),27.8632,(λ le (n_unique_ranks $0) (count_color $0 RED))
(λ lt (n_unique_ranks $0) (min_rank $0)),grammar,ENUMERATED,0.1087,10.87,0.003113,Enumerated program (DL=25.0558 bits),25.0558,(λ lt (n_unique_ranks $0) (min_rank $0))
(λ le (n_unique_ranks $0) (count_color $0 BLACK)),grammar,ENUMERATED,0.1118,11.18,0.003151,Enumerated program (DL=27.8632 bits),27.8632,(λ le (n_unique_ranks $0) (count_color $0 BLACK))
(λ not (has_color (second_half $0) RED)),grammar,ENUMERATED,0.1121,11.21,0.003155,Enumerated program (DL=20.5901 bits),20.5901,(λ not (has_color (second_half $0) RED))
(λ not (has_color (first_half $0) BLACK)),grammar,ENUMERATED,0.1122,11.22,0.003156,Enumerated program (DL=20.5901 bits),20.5901,(λ not (has_color (first_half $0) BLACK))
(λ not (has_color (second_half (take 5 $0)) BLACK)),grammar,ENUMERATED,0.1148,11.48,0.003188,Enumerated program (DL=28.7601 bits),28.7601,(λ not (has_color (second_half (take 5 $0)) BLACK))
(λ not (has_color (second_half (take 5 $0)) RED)),grammar,ENUMERATED,0.1169,11.69,0.003213,Enumerated program (DL=28.7601 bits),28.7601,(λ not (has_color (second_half (take 5 $0)) RED))
(λ not (has_color (first_half $0) RED)),grammar,ENUMERATED,0.1178,11.78,0.003224,Enumerated program (DL=20.5901 bits),20.5901,(λ not (has_color (first_half $0) RED))
(λ not (has_color (second_half $0) BLACK)),grammar,ENUMERATED,0.1199,11.99,0.003248,Enumerated program (DL=20.5901 bits),20.5901,(λ not (has_color (second_half $0) BLACK))
Palindrome_parity,template,PALINDROME,0.1203,12.03,0.001455,The sequence of parity values is a palindrome,,"λh. map(parity, h) = reverse(map(parity, h))"
Halves_copy_parity,template,HALVES_COPY,0.12052,12.05,0.001456,Right half copies left half in parity,,"λh. map(parity, L(h)) = map(parity, R(h))"
(λ not (has_color (first_half $0) (get_color (last $0)))),grammar,ENUMERATED,0.1216,12.16,0.003268,Enumerated program (DL=28.4481 bits),28.4481,(λ not (has_color (first_half $0) (get_color (last $0))))
(λ not (has_color (second_half $0) (get_color (head $0)))),grammar,ENUMERATED,0.1221,12.21,0.003274,Enumerated program (DL=28.4481 bits),28.4481,(λ not (has_color (second_half $0) (get_color (head $0))))
count_spades_eq_3,template,COUNT,0.12462,12.46,0.001477,Number of spades is eq 3,,λh. count(suit=spades) eq 3
count_hearts_eq_3,template,COUNT,0.12552,12.55,0.001482,Number of hearts is eq 3,,λh. count(suit=hearts) eq 3
count_clubs_eq_3,template,COUNT,0.1283,12.83,0.001496,Number of clubs is eq 3,,λh. count(suit=clubs) eq 3
count_diamonds_eq_3,template,COUNT,0.1296,12.96,0.001502,Number of diamonds is eq 3,,λh. count(suit=diamonds) eq 3
count_face_cards_ge_3,template,COUNT,0.13024,13.02,0.001505,Number of face_cards is ge 3,,λh. count(face_cards) ge 3
rank_pairs_eq_2,template,COUNT,0.13086,13.09,0.001508,Number of rank pairs is eq 2,,λh. rank_pairs(h) eq 2
(λ ge (count_suit $0 DIAMONDS) (n_unique_suits $0)),grammar,ENUMERATED,0.132,13.2,0.003385,Enumerated program (DL=28.2257 bits),28.2257,(λ ge (count_suit $0 DIAMONDS) (n_unique_suits $0))
(λ ge (count_suit $0 CLUBS) (n_unique_suits $0)),grammar,ENUMERATED,0.1355,13.55,0.003423,Enumerated program (DL=28.2257 bits),28.2257,(λ ge (count_suit $0 CLUBS) (n_unique_suits $0))
(λ ge (count_suit $0 HEARTS) (n_unique_suits $0)),grammar,ENUMERATED,0.1361,13.61,0.003429,Enumerated program (DL=28.2257 bits),28.2257,(λ ge (count_suit $0 HEARTS) (n_unique_suits $0))
Palindrome_high,template,PALINDROME,0.13642,13.64,0.001535,The sequence of high values is a palindrome,,"λh. map(high, h) = reverse(map(high, h))"
Halves_copy_high,template,HALVES_COPY,0.1374,13.74,0.00154,Right half copies left half in high,,"λh. map(high, L(h)) = map(high, R(h))"
(λ ge (n_unique_ranks (second_half $0)) (rank_val (head $0)),grammar,ENUMERATED,0.1385,13.85,0.003454,Enumerated program (DL=30.6408 bits),30.6408,(λ ge (n_unique_ranks (second_half $0)) (rank_val (head $0)))
(λ ge (count_suit $0 SPADES) (n_unique_suits $0)),grammar,ENUMERATED,0.1388,13.88,0.003457,Enumerated program (DL=28.2257 bits),28.2257,(λ ge (count_suit $0 SPADES) (n_unique_suits $0))
(λ ge (n_unique_ranks (first_half $0)) (rank_val (head $0))),grammar,ENUMERATED,0.1397,13.97,0.003467,Enumerated program (DL=30.6408 bits),30.6408,(λ ge (n_unique_ranks (first_half $0)) (rank_val (head $0)))
Halves_both_has_consec2,template,HALVES_PROPERTY,0.14034,14.03,0.001553,Both halves satisfy has_consec2,,λh. has_consec2(L(h)) ∧ has_consec2(R(h))
(λ ge (n_unique_ranks (first_half $0)) (rank_val (last $0))),grammar,ENUMERATED,0.1412,14.12,0.003482,Enumerated program (DL=30.6408 bits),30.6408,(λ ge (n_unique_ranks (first_half $0)) (rank_val (last $0)))
(λ ge (n_unique_ranks (second_half $0)) (rank_val (last $0)),grammar,ENUMERATED,0.1416,14.16,0.003486,Enumerated program (DL=30.6408 bits),30.6408,(λ ge (n_unique_ranks (second_half $0)) (rank_val (last $0)))
(λ lt (min_rank (head (adjacent_pairs $0))) 3),grammar,ENUMERATED,0.1445,14.45,0.003516,Enumerated program (DL=26.4832 bits),26.4832,(λ lt (min_rank (head (adjacent_pairs $0))) 3)
(λ gt (count_suit (first_half $0) DIAMONDS) 1),grammar,ENUMERATED,0.1453,14.53,0.003524,Enumerated program (DL=25.9527 bits),25.9527,(λ gt (count_suit (first_half $0) DIAMONDS) 1)
(λ gt (count_suit (second_half $0) CLUBS) 1),grammar,ENUMERATED,0.1463,14.63,0.003534,Enumerated program (DL=25.9527 bits),25.9527,(λ gt (count_suit (second_half $0) CLUBS) 1)
(λ lt (mod (min_rank $0) 5) 2),grammar,ENUMERATED,0.1463,14.63,0.003534,Enumerated program (DL=28.3678 bits),28.3678,(λ lt (mod (min_rank $0) 5) 2)
(λ lt (min_rank (second_half (first_half $0))) 3),grammar,ENUMERATED,0.1468,14.68,0.003539,Enumerated program (DL=26.3678 bits),26.3678,(λ lt (min_rank (second_half (first_half $0))) 3)
(λ lt (rank_val (at $0 4)) 4),grammar,ENUMERATED,0.1475,14.75,0.003546,Enumerated program (DL=25.7828 bits),25.7828,(λ lt (rank_val (at $0 4)) 4)
(λ lt (min_rank (second_half (second_half $0))) 3),grammar,ENUMERATED,0.1476,14.76,0.003547,Enumerated program (DL=26.3678 bits),26.3678,(λ lt (min_rank (second_half (second_half $0))) 3)
(λ gt (min_rank (take 5 $0)) 5),grammar,ENUMERATED,0.1477,14.77,0.003548,Enumerated program (DL=27.3678 bits),27.3678,(λ gt (min_rank (take 5 $0)) 5)
(λ has_suit (drop (rank_val (head $0)) $0) SPADES),grammar,ENUMERATED,0.1477,14.77,0.003548,Enumerated program (DL=29.2257 bits),29.2257,(λ has_suit (drop (rank_val (head $0)) $0) SPADES)
(λ gt (count_suit (first_half $0) HEARTS) 1),grammar,ENUMERATED,0.1485,14.85,0.003556,Enumerated program (DL=25.9527 bits),25.9527,(λ gt (count_suit (first_half $0) HEARTS) 1)
(λ lt (min_rank (second_half (reverse (second_half $0)))) 3),grammar,ENUMERATED,0.1486,14.86,0.003557,Enumerated program (DL=29.9527 bits),29.9527,(λ lt (min_rank (second_half (reverse (second_half $0)))) 3)
(λ lt (min_rank (head (second_half (adjacent_pairs $0)))) 3),grammar,ENUMERATED,0.1487,14.87,0.003558,Enumerated program (DL=30.1837 bits),30.1837,(λ lt (min_rank (head (second_half (adjacent_pairs $0)))) 3)
(λ gt (min_rank (drop 1 $0)) 5),grammar,ENUMERATED,0.149,14.9,0.003561,Enumerated program (DL=27.3678 bits),27.3678,(λ gt (min_rank (drop 1 $0)) 5)
(λ has_suit (drop (rank_val (head $0)) $0) CLUBS),grammar,ENUMERATED,0.1494,14.94,0.003565,Enumerated program (DL=29.2257 bits),29.2257,(λ has_suit (drop (rank_val (head $0)) $0) CLUBS)
(λ lt (n_unique_suits (take 5 $0)) 3),grammar,ENUMERATED,0.1496,14.96,0.003567,Enumerated program (DL=27.3678 bits),27.3678,(λ lt (n_unique_suits (take 5 $0)) 3)
(λ has_suit (drop (rank_val (head $0)) $0) HEARTS),grammar,ENUMERATED,0.15,15.0,0.003571,Enumerated program (DL=29.2257 bits),29.2257,(λ has_suit (drop (rank_val (head $0)) $0) HEARTS)
(λ lt (mod (max_rank $0) 5) 2),grammar,ENUMERATED,0.1501,15.01,0.003572,Enumerated program (DL=28.3678 bits),28.3678,(λ lt (mod (max_rank $0) 5) 2)
(λ lt (rank_val (at $0 1)) 4),grammar,ENUMERATED,0.1504,15.04,0.003575,Enumerated program (DL=25.7828 bits),25.7828,(λ lt (rank_val (at $0 1)) 4)
(λ gt (count_suit (second_half $0) DIAMONDS) 1),grammar,ENUMERATED,0.151,15.1,0.00358,Enumerated program (DL=25.9527 bits),25.9527,(λ gt (count_suit (second_half $0) DIAMONDS) 1)
(λ lt (mod 4 (rank_val (head $0))) 1),grammar,ENUMERATED,0.1512,15.12,0.003582,Enumerated program (DL=30.3678 bits),30.3678,(λ lt (mod 4 (rank_val (head $0))) 1)
(λ le (rank_val (head $0)) (count_color $0 RED)),grammar,ENUMERATED,0.1513,15.13,0.003583,Enumerated program (DL=29.8632 bits),29.8632,(λ le (rank_val (head $0)) (count_color $0 RED))
(λ gt (count_suit $0 DIAMONDS) 2),grammar,ENUMERATED,0.1517,15.17,0.003587,Enumerated program (DL=22.3678 bits),22.3678,(λ gt (count_suit $0 DIAMONDS) 2)
(λ gt (n_unique_suits (first_half $0)) (min_rank $0)),grammar,ENUMERATED,0.1519,15.19,0.003589,Enumerated program (DL=28.6408 bits),28.6408,(λ gt (n_unique_suits (first_half $0)) (min_rank $0))
(λ lt (n_unique_suits (drop 1 $0)) 3),grammar,ENUMERATED,0.1524,15.24,0.003594,Enumerated program (DL=27.3678 bits),27.3678,(λ lt (n_unique_suits (drop 1 $0)) 3)
(λ has_suit (drop (rank_val (last $0)) $0) CLUBS),grammar,ENUMERATED,0.1528,15.28,0.003598,Enumerated program (DL=29.2257 bits),29.2257,(λ has_suit (drop (rank_val (last $0)) $0) CLUBS)
(λ lt (mod (rank_val (head $0)) 5) 1),grammar,ENUMERATED,0.153,15.3,0.0036,Enumerated program (DL=30.3678 bits),30.3678,(λ lt (mod (rank_val (head $0)) 5) 1)
(λ lt (rank_val (head $0)) 4),grammar,ENUMERATED,0.1532,15.32,0.003602,Enumerated program (DL=21.1978 bits),21.1978,(λ lt (rank_val (head $0)) 4)
(λ has_suit (drop (rank_val (head $0)) $0) DIAMONDS),grammar,ENUMERATED,0.1532,15.32,0.003602,Enumerated program (DL=29.2257 bits),29.2257,(λ has_suit (drop (rank_val (head $0)) $0) DIAMONDS)
(λ has_suit (drop (rank_val (last $0)) $0) SPADES),grammar,ENUMERATED,0.1532,15.32,0.003602,Enumerated program (DL=29.2257 bits),29.2257,(λ has_suit (drop (rank_val (last $0)) $0) SPADES)
(λ le (rank_val (head $0)) (count_color $0 BLACK)),grammar,ENUMERATED,0.1533,15.33,0.003603,Enumerated program (DL=29.8632 bits),29.8632,(λ le (rank_val (head $0)) (count_color $0 BLACK))
(λ lt (rank_val (head (second_half $0))) 4),grammar,ENUMERATED,0.154,15.4,0.003609,Enumerated program (DL=24.7828 bits),24.7828,(λ lt (rank_val (head (second_half $0))) 4)
(λ gt (count_suit (first_half $0) SPADES) 1),grammar,ENUMERATED,0.1542,15.42,0.003611,Enumerated program (DL=25.9527 bits),25.9527,(λ gt (count_suit (first_half $0) SPADES) 1)
(λ gt (count_suit $0 DIAMONDS) (n_unique_colors $0)),grammar,ENUMERATED,0.1542,15.42,0.003611,Enumerated program (DL=28.2257 bits),28.2257,(λ gt (count_suit $0 DIAMONDS) (n_unique_colors $0))
(λ gt (count_suit (first_half $0) CLUBS) 1),grammar,ENUMERATED,0.1543,15.43,0.003612,Enumerated program (DL=25.9527 bits),25.9527,(λ gt (count_suit (first_half $0) CLUBS) 1)
(λ gt (count_suit (second_half $0) SPADES) 1),grammar,ENUMERATED,0.1543,15.43,0.003612,Enumerated program (DL=25.9527 bits),25.9527,(λ gt (count_suit (second_half $0) SPADES) 1)
(λ gt (n_unique_suits (second_half $0)) (min_rank $0)),grammar,ENUMERATED,0.1546,15.46,0.003615,Enumerated program (DL=28.6408 bits),28.6408,(λ gt (n_unique_suits (second_half $0)) (min_rank $0))
(λ lt (rank_val (last $0)) 4),grammar,ENUMERATED,0.155,15.5,0.003619,Enumerated program (DL=21.1978 bits),21.1978,(λ lt (rank_val (last $0)) 4)
(λ lt (mod (rank_val (last $0)) 5) 1),grammar,ENUMERATED,0.1551,15.51,0.00362,Enumerated program (DL=30.3678 bits),30.3678,(λ lt (mod (rank_val (last $0)) 5) 1)
(λ has_suit (drop (rank_val (last $0)) $0) DIAMONDS),grammar,ENUMERATED,0.1554,15.54,0.003623,Enumerated program (DL=29.2257 bits),29.2257,(λ has_suit (drop (rank_val (last $0)) $0) DIAMONDS)
count_clubs_ge_3,template,COUNT,0.15556,15.56,0.001621,Number of clubs is ge 3,,λh. count(suit=clubs) ge 3
count_hearts_ge_3,template,COUNT,0.15616,15.62,0.001623,Number of hearts is ge 3,,λh. count(suit=hearts) ge 3
(λ le (rank_val (last $0)) (count_color $0 BLACK)),grammar,ENUMERATED,0.1562,15.62,0.00363,Enumerated program (DL=29.8632 bits),29.8632,(λ le (rank_val (last $0)) (count_color $0 BLACK))
(λ lt (rank_val (last (first_half $0))) 4),grammar,ENUMERATED,0.1564,15.64,0.003632,Enumerated program (DL=24.7828 bits),24.7828,(λ lt (rank_val (last (first_half $0))) 4)
count_hearts_le_0,template,COUNT,0.1573,15.73,0.001628,Number of hearts is le 0,,λh. count(suit=hearts) le 0
count_clubs_le_0,template,COUNT,0.15806,15.81,0.001631,Number of clubs is le 0,,λh. count(suit=clubs) le 0
count_spades_ge_3,template,COUNT,0.15808,15.81,0.001632,Number of spades is ge 3,,λh. count(suit=spades) ge 3
(λ gt (count_suit $0 CLUBS) 2),grammar,ENUMERATED,0.1584,15.84,0.003651,Enumerated program (DL=22.3678 bits),22.3678,(λ gt (count_suit $0 CLUBS) 2)
(λ has_suit (drop (rank_val (last $0)) $0) HEARTS),grammar,ENUMERATED,0.1586,15.86,0.003653,Enumerated program (DL=29.2257 bits),29.2257,(λ has_suit (drop (rank_val (last $0)) $0) HEARTS)
(λ gt (count_suit $0 HEARTS) 2),grammar,ENUMERATED,0.1588,15.88,0.003655,Enumerated program (DL=22.3678 bits),22.3678,(λ gt (count_suit $0 HEARTS) 2)
(λ gt (count_suit (second_half $0) HEARTS) 1),grammar,ENUMERATED,0.1588,15.88,0.003655,Enumerated program (DL=25.9527 bits),25.9527,(λ gt (count_suit (second_half $0) HEARTS) 1)
unique_ranks_eq_4,template,COUNT,0.1592,15.92,0.001636,Number of unique_ranks is eq 4,,λh. unique_ranks(h) eq 4
(λ not (has_suit $0 DIAMONDS)),grammar,ENUMERATED,0.1603,16.03,0.003669,Enumerated program (DL=17.3678 bits),17.3678,(λ not (has_suit $0 DIAMONDS))
(λ gt (count_color $0 (get_color (head $0))) 4),grammar,ENUMERATED,0.1603,16.03,0.003669,Enumerated program (DL=29.8632 bits),29.8632,(λ gt (count_color $0 (get_color (head $0))) 4)
(λ not (has_suit $0 HEARTS)),grammar,ENUMERATED,0.1604,16.04,0.00367,Enumerated program (DL=17.3678 bits),17.3678,(λ not (has_suit $0 HEARTS))
(λ gt (count_color $0 (get_color (last $0))) 4),grammar,ENUMERATED,0.1604,16.04,0.00367,Enumerated program (DL=29.8632 bits),29.8632,(λ gt (count_color $0 (get_color (last $0))) 4)
(λ le (rank_val (last $0)) (count_color $0 RED)),grammar,ENUMERATED,0.1604,16.04,0.00367,Enumerated program (DL=29.8632 bits),29.8632,(λ le (rank_val (last $0)) (count_color $0 RED))
count_diamonds_eq_0,template,COUNT,0.1605,16.05,0.001642,Number of diamonds is eq 0,,λh. count(suit=diamonds) eq 0
count_spades_le_0,template,COUNT,0.16056,16.06,0.001642,Number of spades is le 0,,λh. count(suit=spades) le 0
(λ gt (mod (min_rank $0) 5) 3),grammar,ENUMERATED,0.1606,16.06,0.003672,Enumerated program (DL=28.3678 bits),28.3678,(λ gt (mod (min_rank $0) 5) 3)
count_spades_eq_0,template,COUNT,0.16066,16.07,0.001642,Number of spades is eq 0,,λh. count(suit=spades) eq 0
(λ lt (mod 4 (rank_val (last $0))) 1),grammar,ENUMERATED,0.1608,16.08,0.003673,Enumerated program (DL=30.3678 bits),30.3678,(λ lt (mod 4 (rank_val (last $0))) 1)
count_clubs_eq_0,template,COUNT,0.16092,16.09,0.001643,Number of clubs is eq 0,,λh. count(suit=clubs) eq 0
count_diamonds_ge_3,template,COUNT,0.16094,16.09,0.001643,Number of diamonds is ge 3,,λh. count(suit=diamonds) ge 3
(λ lt (mod 4 (n_unique_ranks $0)) 1),grammar,ENUMERATED,0.1611,16.11,0.003676,Enumerated program (DL=28.3678 bits),28.3678,(λ lt (mod 4 (n_unique_ranks $0)) 1)
(λ gt (count_suit $0 HEARTS) (n_unique_colors $0)),grammar,ENUMERATED,0.1612,16.12,0.003677,Enumerated program (DL=28.2257 bits),28.2257,(λ gt (count_suit $0 HEARTS) (n_unique_colors $0))
count_hearts_eq_0,template,COUNT,0.16164,16.16,0.001646,Number of hearts is eq 0,,λh. count(suit=hearts) eq 0
(λ gt (count_suit $0 CLUBS) (n_unique_colors $0)),grammar,ENUMERATED,0.1624,16.24,0.003688,Enumerated program (DL=28.2257 bits),28.2257,(λ gt (count_suit $0 CLUBS) (n_unique_colors $0))
(λ gt (count_suit $0 SPADES) 2),grammar,ENUMERATED,0.1628,16.28,0.003692,Enumerated program (DL=22.3678 bits),22.3678,(λ gt (count_suit $0 SPADES) 2)
(λ not (has_suit $0 SPADES)),grammar,ENUMERATED,0.1633,16.33,0.003696,Enumerated program (DL=17.3678 bits),17.3678,(λ not (has_suit $0 SPADES))
count_diamonds_le_0,template,COUNT,0.1641,16.41,0.001656,Number of diamonds is le 0,,λh. count(suit=diamonds) le 0
(λ gt (count_suit $0 SPADES) (n_unique_colors $0)),grammar,ENUMERATED,0.1649,16.49,0.003711,Enumerated program (DL=28.2257 bits),28.2257,(λ gt (count_suit $0 SPADES) (n_unique_colors $0))
(λ not (has_suit $0 CLUBS)),grammar,ENUMERATED,0.166,16.6,0.003721,Enumerated program (DL=17.3678 bits),17.3678,(λ not (has_suit $0 CLUBS))
(λ lt (mod (min_rank $0) 4) 1),grammar,ENUMERATED,0.1662,16.62,0.003723,Enumerated program (DL=28.3678 bits),28.3678,(λ lt (mod (min_rank $0) 4) 1)
all_but_one_same_color,template,GLOBAL,0.16756,16.76,0.00167,All but at most one card share the same color,,λh. all_but_one_same_color(h)
unique_ranks_le_4,template,COUNT,0.1678,16.78,0.001671,Number of unique_ranks is le 4,,λh. unique_ranks(h) le 4
(λ le (n_unique_ranks (first_half $0)) (n_unique_colors $0)),grammar,ENUMERATED,0.1685,16.85,0.003743,Enumerated program (DL=28.6408 bits),28.6408,(λ le (n_unique_ranks (first_half $0)) (n_unique_colors $0))
(λ lt (mod (max_rank $0) 4) 1),grammar,ENUMERATED,0.1689,16.89,0.003747,Enumerated program (DL=28.3678 bits),28.3678,(λ lt (mod (max_rank $0) 4) 1)
(λ lt 3 (count_color (drop 1 $0) BLACK)),grammar,ENUMERATED,0.1691,16.91,0.003748,Enumerated program (DL=30.1751 bits),30.1751,(λ lt 3 (count_color (drop 1 $0) BLACK))
(λ lt 3 (count_color (take 5 $0) RED)),grammar,ENUMERATED,0.1707,17.07,0.003762,Enumerated program (DL=30.1751 bits),30.1751,(λ lt 3 (count_color (take 5 $0) RED))
(λ lt (n_unique_ranks (first_half $0)) 3),grammar,ENUMERATED,0.1709,17.09,0.003764,Enumerated program (DL=22.7828 bits),22.7828,(λ lt (n_unique_ranks (first_half $0)) 3)
(λ lt (n_unique_ranks (second_half $0)) 3),grammar,ENUMERATED,0.1711,17.11,0.003766,Enumerated program (DL=22.7828 bits),22.7828,(λ lt (n_unique_ranks (second_half $0)) 3)
(λ lt (n_unique_ranks $0) 5),grammar,ENUMERATED,0.1733,17.33,0.003785,Enumerated program (DL=19.1978 bits),19.1978,(λ lt (n_unique_ranks $0) 5)
(λ lt 3 (count_color (drop 1 $0) RED)),grammar,ENUMERATED,0.1739,17.39,0.00379,Enumerated program (DL=30.1751 bits),30.1751,(λ lt 3 (count_color (drop 1 $0) RED))
all_but_one_same_parity,template,GLOBAL,0.17428,17.43,0.001697,All but at most one card share the same parity,,λh. all_but_one_same_parity(h)
(λ lt 3 (count_color (take 5 $0) BLACK)),grammar,ENUMERATED,0.1769,17.69,0.003816,Enumerated program (DL=30.1751 bits),30.1751,(λ lt 3 (count_color (take 5 $0) BLACK))
(λ lt (mod (max_rank $0) 3) 1),grammar,ENUMERATED,0.1809,18.09,0.003849,Enumerated program (DL=28.3678 bits),28.3678,(λ lt (mod (max_rank $0) 3) 1)
(λ lt (count_color $0 (get_color (head $0))) 3),grammar,ENUMERATED,0.1827,18.27,0.003864,Enumerated program (DL=29.8632 bits),29.8632,(λ lt (count_color $0 (get_color (head $0))) 3)
(λ le (rank_val (head $0)) (n_unique_suits $0)),grammar,ENUMERATED,0.1837,18.37,0.003872,Enumerated program (DL=27.0558 bits),27.0558,(λ le (rank_val (head $0)) (n_unique_suits $0))
(λ le (rank_val (last $0)) (n_unique_suits $0)),grammar,ENUMERATED,0.1845,18.45,0.003879,Enumerated program (DL=27.0558 bits),27.0558,(λ le (rank_val (last $0)) (n_unique_suits $0))
(λ lt (count_color $0 (get_color (last $0))) 3),grammar,ENUMERATED,0.1872,18.72,0.003901,Enumerated program (DL=29.8632 bits),29.8632,(λ lt (count_color $0 (get_color (last $0))) 3)
count_face_cards_eq_0,template,COUNT,0.188,18.8,0.001747,Number of face_cards is eq 0,,λh. count(face_cards) eq 0
(λ has_color (drop (min_rank $0) (second_half $0)) BLACK),grammar,ENUMERATED,0.1901,19.01,0.003924,Enumerated program (DL=30.4481 bits),30.4481,(λ has_color (drop (min_rank $0) (second_half $0)) BLACK)
(λ lt 4 (min_rank $0)),grammar,ENUMERATED,0.1913,19.13,0.003933,Enumerated program (DL=19.1978 bits),19.1978,(λ lt 4 (min_rank $0))
(λ has_suit (drop (n_unique_ranks $0) $0) CLUBS),grammar,ENUMERATED,0.1918,19.18,0.003937,Enumerated program (DL=27.2257 bits),27.2257,(λ has_suit (drop (n_unique_ranks $0) $0) CLUBS)
(λ le (max_rank $0) (rank_val (last $0))),grammar,ENUMERATED,0.193,19.3,0.003947,Enumerated program (DL=27.0558 bits),27.0558,(λ le (max_rank $0) (rank_val (last $0)))
(λ has_color (drop (min_rank $0) (first_half $0)) RED),grammar,ENUMERATED,0.1948,19.48,0.00396,Enumerated program (DL=30.4481 bits),30.4481,(λ has_color (drop (min_rank $0) (first_half $0)) RED)
(λ has_suit (drop (n_unique_ranks $0) $0) DIAMONDS),grammar,ENUMERATED,0.1951,19.51,0.003963,Enumerated program (DL=27.2257 bits),27.2257,(λ has_suit (drop (n_unique_ranks $0) $0) DIAMONDS)
(λ gt (mod (sum_ranks $0) 5) 3),grammar,ENUMERATED,0.1952,19.52,0.003964,Enumerated program (DL=28.3678 bits),28.3678,(λ gt (mod (sum_ranks $0) 5) 3)
(λ le (rank_val (head $0)) (min_rank $0)),grammar,ENUMERATED,0.1976,19.76,0.003982,Enumerated program (DL=27.0558 bits),27.0558,(λ le (rank_val (head $0)) (min_rank $0))
(λ le (n_unique_ranks $0) (min_rank $0)),grammar,ENUMERATED,0.1978,19.78,0.003983,Enumerated program (DL=25.0558 bits),25.0558,(λ le (n_unique_ranks $0) (min_rank $0))
count_even_ranks_eq_2,template,COUNT,0.19792,19.79,0.001782,Number of even_ranks is eq 2,,λh. count(even_ranks) eq 2
